ablation_family,forecast_week_ahead,forecast_horizon_label,missing_config,model_set,algorithm,split,any_event_f1,high_intensity_f1,any_event_avg_precision,high_intensity_avg_precision,subtype_macro_f1,subtype_weighted_f1,subtype_micro_f1,battle_any_f1,explosions_remote_any_f1,violence_against_civilians_any_f1,air_drone_any_f1,strategic_developments_any_f1,event_count_mae,fatalities_sum_mae,air_drone_strike_count_mae,frac_high_gt_event
direct_week_ahead_missing_modality,1,week_plus_1,full,model1,linear_hierarchical,train,0.7081350304371887,0.6481140754369825,0.7949090278169352,0.7183750994297309,0.580428646546206,0.6228869302989976,0.6211667913238594,0.6024793388429752,0.6567092266923633,0.3956343792633015,0.64794921875,0.5993710691823899,7.6235831056727505,7200.987509917573,7199.55970798244,0.0
direct_week_ahead_missing_modality,1,week_plus_1,full,model1,linear_hierarchical,valid,0.7235079171741778,0.6881443298969072,0.8194419812146111,0.7692734595207068,0.5827397056402235,0.6167759835950146,0.6135542808582961,0.6501901140684411,0.6534653465346535,0.41237113402061853,0.6539278131634819,0.5437441204139228,11.918594061634577,7204.544510043115,7201.650571430708,0.0
direct_week_ahead_missing_modality,1,week_plus_1,full,model1,linear_hierarchical,test,0.7288246881155613,0.6078147612156295,0.8367155687368922,0.6789886416590076,0.5801898673009314,0.6256497743064809,0.6250291307387555,0.5756097560975609,0.6656511805026657,0.3952569169960474,0.6630602782071098,0.6013712047012733,11.244743827994707,7207.901209086631,7200.644437696801,0.0
direct_week_ahead_missing_modality,1,week_plus_1,full,model1,lightgbm_hierarchical,train,0.9466515323496028,0.9809954751131221,0.9898193974634334,0.9986099230511398,0.9239854707475945,0.9310660542913497,0.9303762952190511,0.9418803418803419,0.937708903068976,0.8851590106007067,0.9419047619047619,0.9132743362831859,1.9602731150458994,2.228314675997764,1.3511929926262891,0.0
direct_week_ahead_missing_modality,1,week_plus_1,full,model1,lightgbm_hierarchical,valid,0.8293316028552887,0.8729139922978177,0.9183488920856294,0.9182637927865508,0.7132283255955812,0.7581120464309014,0.755280783101494,0.7542213883677298,0.8042142230026339,0.5120772946859904,0.8025594149908593,0.693069306930693,5.006461374953626,8.36348712736829,3.9712569771875352,0.0
direct_week_ahead_missing_modality,1,week_plus_1,full,model1,lightgbm_hierarchical,test,0.8027027027027027,0.8088642659279779,0.9053251627226412,0.8110348189266561,0.6852487587751462,0.7310782066035231,0.7272727272727273,0.7251732101616628,0.7870461236506379,0.4756756756756757,0.7885597548518897,0.6497890295358649,5.884704613945961,11.532262068274976,4.078741559635018,0.0
direct_week_ahead_missing_modality,1,week_plus_1,full,model1,catboost_hierarchical,train,0.8824593128390597,0.9061224489795918,0.9597457133902578,0.9737206389458126,0.8364303123926842,0.8578945518908633,0.8568506248054432,0.8752573075339646,0.8827708703374778,0.7315247895229187,0.8905374716124148,0.8020611229566453,2.21549820239959,3.1160260311516783,1.6759577337582947,0.0
direct_week_ahead_missing_modality,1,week_plus_1,full,model1,catboost_hierarchical,valid,0.8392056374119155,0.8620236530880421,0.9220448854564701,0.9262711673810581,0.7283824189269895,0.7720950575157577,0.7716976329854925,0.7707129094412332,0.8275276125743416,0.5376344086021505,0.8169991326973114,0.6890380313199105,5.113687029807471,8.410102809501009,3.8633192349278183,0.0
direct_week_ahead_missing_modality,1,week_plus_1,full,model1,catboost_hierarchical,test,0.8048452220726783,0.7988505747126436,0.910034922787674,0.82942946783432,0.6839751868549069,0.7270857403353677,0.7274719254998631,0.7355769230769231,0.7899628252788105,0.48148148148148145,0.7898686679174484,0.6229860365198711,5.8224459788662095,11.463704508823055,3.905209687237938,0.0
direct_week_ahead_missing_modality,1,week_plus_1,full,model1,gru_hierarchical,train,0.849950149551346,0.8268003646308113,0.9362248058219195,0.9337420480038896,0.7305470681289711,0.7817037115836171,0.7770551630561924,0.7686800894854586,0.8288372093023256,0.5104602510460251,0.841743906625472,0.703013884185574,4.7936578289894705,6.339392696346238,3.4962464244857845,0.0
direct_week_ahead_missing_modality,1,week_plus_1,full,model1,gru_hierarchical,valid,0.8336594911937377,0.8664169787765293,0.9200168031651264,0.9104121955165092,0.7074386427014178,0.7418215159891965,0.7324506620034974,0.7741935483870968,0.7996661101836394,0.5595854922279793,0.804490177736202,0.5992578849721707,7.29675919742151,8.902387929548565,5.014175206298593,0.0
