raion_id,raion_name,week_start,ntl_week_mean,ntl_week_median,ntl_week_std_mean,ntl_high_quality_share,ntl_latest_hq_share,ntl_obs_days,ntl_valid_pixels_sum,ntl_change_vs_prev_week,ntl_change_vs_rolling4,ntl_pct_change_vs_prev_week
UA0102,Bakhchysaraiskyi,2022-12-26,2.861610569103441,2.861610569103441,24.177829805456355,0.9708001029071264,0.02919989709287368,1,15548,,,
UA0102,Bakhchysaraiskyi,2023-01-02,2.8764896862239517,2.790580853532999,19.9191175526793,0.420008085559925,0.579991914440075,7,108836,0.01487911712051071,0.01487911712051071,0.005199560443744245
UA0102,Bakhchysaraiskyi,2023-01-09,2.8489990766391835,2.827550289334798,18.027183686924577,0.5440754897276637,0.4559245102723364,7,108836,-0.027490609584768233,-0.020051051024512656,-0.009556999184257783
UA0102,Bakhchysaraiskyi,2023-01-16,2.77009493910512,2.754368775351927,14.483663236944503,0.463523098974604,0.536476901025396,7,108836,-0.07890413753406333,-0.09227150488373903,-0.027695388945910945
UA0102,Bakhchysaraiskyi,2023-01-23,2.7277823035499518,2.603012612620946,13.697002519257145,0.5079753022896836,0.4920246977103164,7,108836,-0.0423126355551684,-0.11151626421797234,-0.015274796165952892
UA0102,Bakhchysaraiskyi,2023-01-30,2.64093140628128,2.652293394715292,13.655144616345243,0.06903965599617773,0.9309603440038223,7,108836,-0.0868508972686719,-0.16491009509827226,-0.031839379981182386
UA0102,Bakhchysaraiskyi,2023-02-06,2.7147160030815316,2.662323607725446,17.23349976875747,0.5241096695946194,0.4758903304053806,7,108836,0.07378459680025173,-0.032235928312352335,0.027938853930382278
UA0102,Bakhchysaraiskyi,2023-02-13,2.6502581792459314,2.6710059827580332,14.83782912775007,0.22103899445036568,0.7789610055496343,7,108836,-0.06445782383560017,-0.06312298375853898,-0.023743855255000054
UA0102,Bakhchysaraiskyi,2023-02-20,2.7377855690223316,2.64149079718518,15.096038688944537,0.39753390422286744,0.6024660957771325,7,108836,0.08752738977640018,0.05436359598265783,0.03302598609517509
UA0102,Bakhchysaraiskyi,2023-02-27,2.5758063298573908,2.6121261466671535,14.434467397955714,0.4724815318460803,0.5275184681539197,7,108836,-0.16197923916494084,-0.1101164595503783,-0.05916432645336206
UA0102,Bakhchysaraiskyi,2023-03-06,2.451148773568093,2.6062015282752817,15.933877975802634,0.4269726928589805,0.5730273071410196,7,108836,-0.12465755628929776,-0.21849274673370322,-0.04839554699603499
UA0102,Bakhchysaraiskyi,2023-03-13,2.677248168461589,2.624326250400631,15.143718234156143,0.48878128560402806,0.5112187143959719,7,108836,0.22609939489349618,0.07349845553815237,0.09224221611174069
UA0102,Bakhchysaraiskyi,2023-03-20,2.5514195856738704,2.5807873653331814,11.51275997568309,0.404480135249366,0.595519864750634,7,108836,-0.1258285827877188,-0.059077624553480756,-0.04699922266079013
UA0102,Bakhchysaraiskyi,2023-03-27,2.5062942214431607,2.4802264556219713,8.414939710171968,0.17593443345951706,0.8240655665404829,7,108836,-0.045125364230709675,-0.05761149294707524,-0.017686375257165453
UA0102,Bakhchysaraiskyi,2023-04-03,2.306556717749559,2.4341493067829267,9.071994936258132,0.42274615017089934,0.5772538498291008,7,108836,-0.19973750369360177,-0.2399709695371195,-0.07969435590789896
UA0102,Bakhchysaraiskyi,2023-04-10,2.533849465034932,2.4729922647157396,8.026759423409919,0.4633209599764784,0.5366790400235216,7,108836,0.22729274728537296,0.02346979170288721,0.09854201526296563
UA0102,Bakhchysaraiskyi,2023-04-17,2.177612730835597,2.307807457654448,7.265336873888718,0.3262799073835863,0.6737200926164136,7,108836,-0.3562367341993351,-0.2969172666397837,-0.14059111999947638
UA0102,Bakhchysaraiskyi,2023-04-24,2.455599564886228,2.482310147075726,12.533956846162585,0.44465985519497225,0.5553401448050278,7,108836,0.27798683405063107,0.07452128112041567,0.12765669033536625
UA0102,Bakhchysaraiskyi,2023-05-01,2.4582210548852323,2.502238196965534,11.457520240718537,0.28471277885993607,0.7152872211400639,7,108836,0.002621489999004467,0.08981643525865346,0.0010675559796028574
UA0102,Bakhchysaraiskyi,2023-05-08,2.503787928636657,2.49094400990472,15.965458808180298,0.5136627586460362,0.4863372413539638,7,108836,0.04556687375142454,0.09746722472615987,0.018536524069252974
UA0102,Bakhchysaraiskyi,2023-05-15,2.454498849532727,2.4221375290199476,13.622006575143132,0.3487173361755302,0.6512826638244699,7,108836,-0.04928907910392999,0.055693529721798196,-0.019685804272875657
UA0102,Bakhchysaraiskyi,2023-05-22,2.463466671810551,2.4450279356763707,11.84020612180026,0.2066687493108898,0.7933312506891103,7,108836,0.008967822277824222,-0.004560177674659993,0.003653626596537808
UA0102,Bakhchysaraiskyi,2023-05-29,2.2645637149845297,2.2684326982642578,10.82453297996623,0.17129442463890626,0.8287055753610938,7,108836,-0.19890295682602144,-0.20542991123176213,-0.08074107886340333
UA0102,Bakhchysaraiskyi,2023-06-05,2.2048196275835417,2.3079799026665824,10.966798582710789,0.38116983351097067,0.6188301664890294,7,108836,-0.05974408740098802,-0.21675966365757438,-0.026382162270667735
UA0102,Bakhchysaraiskyi,2023-06-12,2.2352353226622053,2.236316643245106,5.916350638121657,0.40647396082178694,0.5935260391782131,7,108836,0.030415695078663596,-0.11160189331563197,0.013795094482172615
UA0102,Bakhchysaraiskyi,2023-06-19,2.153143678537287,2.1700030619406494,5.116483145285288,0.3875831526333199,0.6124168473666801,7,108836,-0.08209164412491843,-0.13887765572291988,-0.03672617522308381
UA0102,Bakhchysaraiskyi,2023-06-26,1.9962576089383106,2.0674293735518305,5.130111408273318,0.42620088941159173,0.5737991105884083,7,108836,-0.15688606959897622,-0.21818297700358014,-0.0728637253346488
