raion_id,raion_name,oblast_name,week_start,target_week_start,y_next_high_intensity,y_next_any_event,y_next_event_count,y_next_fatalities_sum,y_next_air_drone_strike_count,acled_event_count_lag1,acled_event_count_roll4_sum,air_drone_strike_count_lag1,air_drone_strike_count_roll4_sum,any_event_lag1,any_event_roll4_sum,border_crossing_count,border_crossings_per_1000sqkm,fatalities_sum_lag1,fatalities_sum_roll4_sum,firms_bright_ti4_mean,firms_change_vs_prev_week,firms_day_count,firms_event_count,firms_event_count_lag1,firms_event_count_roll4_sum,firms_frp_max,firms_frp_mean,firms_frp_sum,firms_frp_sum_lag1,firms_frp_sum_roll4_sum,firms_high_conf_count,firms_low_conf_count,firms_night_count,firms_nominal_conf_count,firms_type0_count,firms_type2_count,high_intensity_week_lag1,high_intensity_week_roll4_sum,major_road_density_km_per_100sqkm,major_road_share,nearest_border_crossing_km,ntl_change_vs_prev_week,ntl_change_vs_prev_week_lag1,ntl_change_vs_rolling4,ntl_high_quality_share,ntl_latest_hq_share,ntl_obs_days,ntl_pct_change_vs_prev_week,ntl_valid_pixels_sum,ntl_week_mean,ntl_week_mean_lag1,ntl_week_mean_roll4_mean,ntl_week_median,ntl_week_std_mean,paved_road_share,place_count_city,place_count_settlement,place_count_village,places_per_10k_pop_2023,pop_2022_mean,pop_2022_sum,pop_2023_mean,pop_2023_per_sqkm,pop_2023_sum,pop_change_abs_2022_2023,pop_change_pct_2022_2023,populated_place_count,rail_density_km_per_100sqkm,rail_to_road_ratio,rail_total_length_km,road_bridge_length_km,road_density_km_per_100sqkm,road_major_length_km,road_paved_length_km,road_total_length_km,unosat_affected_road_count_pre2024,unosat_affected_urban_area_km2_pre2024,unosat_damage_area_km2_pre2024,unosat_damage_point_count_pre2024,unosat_damage_polygon_count_pre2024,unosat_feature_count_2022,unosat_feature_count_2023,unosat_feature_count_pre2024,unosat_flood_area_km2_pre2024,unosat_flood_feature_count_pre2024,unosat_unique_source_layers
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-01-02,2023-01-09,0,1,1.0,0.0,0.0,,,,,,,0,0.0,,,296.96,1.0,0.0,1.0,0.0,0.0,0.46,0.46,0.46,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,43.52776485735213,0.0807228102993559,485.9824667313104,0.01487911712051071,,0.01487911712051071,0.420008085559925,0.9551067661435554,7,0.005199560443744245,108836,2.8764896862239517,2.861610569103441,2.861610569103441,2.790580853532999,19.9191175526793,0.1062676307580124,2,4,110,3.811103947038797,4.325286865234375,359362.125,3.627988815307617,127.81792444938635,304373.75,-54988.375,-0.153016612421245,116,10.588735061374914,0.0196369479221061,252.1503155579237,13.799651233680764,539.2250925845109,1036.5298197278064,1364.540800103717,12840.606216308552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-01-09,2023-01-16,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,295.09,0.0,0.0,1.0,1.0,1.0,0.57,0.57,0.57,0.46,0.46,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,43.52776485735213,0.0807228102993559,485.9824667313104,-0.027490609584768233,0.01487911712051071,-0.020051051024512656,0.5440754897276637,0.0599434010805248,7,-0.009556999184257783,108836,2.8489990766391835,2.8764896862239517,2.869050127663696,2.827550289334798,18.027183686924577,0.1062676307580124,2,4,110,3.811103947038797,4.325286865234375,359362.125,3.627988815307617,127.81792444938635,304373.75,-54988.375,-0.153016612421245,116,10.588735061374914,0.0196369479221061,252.1503155579237,13.799651233680764,539.2250925845109,1036.5298197278064,1364.540800103717,12840.606216308552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-01-16,2023-01-23,0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0,0.0,0.0,0.0,327.57,0.0,1.0,1.0,1.0,2.0,2.09,2.09,2.09,0.57,1.03,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,43.52776485735213,0.0807228102993559,485.9824667313104,-0.07890413753406333,-0.027490609584768233,-0.09227150488373903,0.463523098974604,0.9295729354257782,7,-0.027695388945910945,108836,2.77009493910512,2.8489990766391835,2.862366443988859,2.754368775351927,14.483663236944503,0.1062676307580124,2,4,110,3.811103947038797,4.325286865234375,359362.125,3.627988815307617,127.81792444938635,304373.75,-54988.375,-0.153016612421245,116,10.588735061374914,0.0196369479221061,252.1503155579237,13.799651233680764,539.2250925845109,1036.5298197278064,1364.540800103717,12840.606216308552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-01-23,2023-01-30,1,1,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,328.08,0.0,1.0,1.0,1.0,3.0,3.31,3.31,3.31,2.09,3.12,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,43.52776485735213,0.0807228102993559,485.9824667313104,-0.0423126355551684,-0.07890413753406333,-0.11151626421797234,0.5079753022896836,0.8951633650630306,7,-0.015274796165952892,108836,2.7277823035499518,2.77009493910512,2.839298567767924,2.603012612620946,13.697002519257145,0.1062676307580124,2,4,110,3.811103947038797,4.325286865234375,359362.125,3.627988815307617,127.81792444938635,304373.75,-54988.375,-0.153016612421245,116,10.588735061374914,0.0196369479221061,252.1503155579237,13.799651233680764,539.2250925845109,1036.5298197278064,1364.540800103717,12840.606216308552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-01-30,2023-02-06,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,,-1.0,0.0,0.0,1.0,4.0,,,0.0,3.31,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52776485735213,0.0807228102993559,485.9824667313104,-0.0868508972686719,-0.0423126355551684,-0.16491009509827226,0.0690396559961777,0.9972986879341394,7,-0.031839379981182386,108836,2.64093140628128,2.7277823035499518,2.805841501379552,2.652293394715292,13.655144616345243,0.1062676307580124,2,4,110,3.811103947038797,4.325286865234375,359362.125,3.627988815307617,127.81792444938635,304373.75,-54988.375,-0.153016612421245,116,10.588735061374914,0.0196369479221061,252.1503155579237,13.799651233680764,539.2250925845109,1036.5298197278064,1364.540800103717,12840.606216308552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-02-06,2023-02-13,0,0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,2.0,0,0.0,0.0,0.0,301.62,1.0,0.0,1.0,0.0,3.0,0.55,0.55,0.55,0.0,5.970000000000001,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,43.52776485735213,0.0807228102993559,485.9824667313104,0.07378459680025173,-0.0868508972686719,-0.032235928312352335,0.5241096695946194,0.1398893748392076,7,0.027938853930382278,108836,2.7147160030815316,2.64093140628128,2.746951931393884,2.662323607725446,17.23349976875747,0.1062676307580124,2,4,110,3.811103947038797,4.325286865234375,359362.125,3.627988815307617,127.81792444938635,304373.75,-54988.375,-0.153016612421245,116,10.588735061374914,0.0196369479221061,252.1503155579237,13.799651233680764,539.2250925845109,1036.5298197278064,1364.540800103717,12840.606216308552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-02-13,2023-02-20,0,1,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,,-1.0,0.0,0.0,1.0,3.0,,,0.0,0.55,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.52776485735213,0.0807228102993559,485.9824667313104,-0.06445782383560017,0.07378459680025173,-0.06312298375853898,0.22103899445036568,0.9520838693079496,7,-0.023743855255000054,108836,2.6502581792459314,2.7147160030815316,2.7133811630044704,2.6710059827580332,14.83782912775007,0.1062676307580124,2,4,110,3.811103947038797,4.325286865234375,359362.125,3.627988815307617,127.81792444938635,304373.75,-54988.375,-0.153016612421245,116,10.588735061374914,0.0196369479221061,252.1503155579237,13.799651233680764,539.2250925845109,1036.5298197278064,1364.540800103717,12840.606216308552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-02-20,2023-02-27,1,1,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,327.33,1.0,1.0,1.0,0.0,2.0,2.28,2.28,2.28,0.0,3.86,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,43.52776485735213,0.0807228102993559,485.9824667313104,0.08752738977640018,-0.06445782383560017,0.05436359598265783,0.3975339042228674,1.0,7,0.03302598609517509,108836,2.7377855690223316,2.6502581792459314,2.683421973039674,2.64149079718518,15.096038688944537,0.1062676307580124,2,4,110,3.811103947038797,4.325286865234375,359362.125,3.627988815307617,127.81792444938635,304373.75,-54988.375,-0.153016612421245,116,10.588735061374914,0.0196369479221061,252.1503155579237,13.799651233680764,539.2250925845109,1036.5298197278064,1364.540800103717,12840.606216308552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-02-27,2023-03-06,0,0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,2.0,0,0.0,0.0,0.0,296.99,0.0,0.0,1.0,1.0,2.0,0.64,0.64,0.64,2.28,2.8299999999999996,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,43.52776485735213,0.0807228102993559,485.9824667313104,-0.16197923916494084,0.08752738977640018,-0.1101164595503783,0.47248153184608027,0.9823128376640082,7,-0.05916432645336206,108836,2.5758063298573908,2.7377855690223316,2.685922789407769,2.6121261466671535,14.434467397955714,0.1062676307580124,2,4,110,3.811103947038797,4.325286865234375,359362.125,3.627988815307617,127.81792444938635,304373.75,-54988.375,-0.153016612421245,116,10.588735061374914,0.0196369479221061,252.1503155579237,13.799651233680764,539.2250925845109,1036.5298197278064,1364.540800103717,12840.606216308552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-03-06,2023-03-13,0,0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,304.52,0.0,0.0,1.0,1.0,3.0,0.68,0.68,0.68,0.64,3.47,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,43.52776485735213,0.0807228102993559,485.9824667313104,-0.12465755628929776,-0.16197923916494084,-0.21849274673370322,0.4269726928589805,0.5304862361718549,7,-0.04839554699603499,108836,2.451148773568093,2.5758063298573908,2.6696415203017962,2.6062015282752817,15.933877975802634,0.1062676307580124,2,4,110,3.811103947038797,4.325286865234375,359362.125,3.627988815307617,127.81792444938635,304373.75,-54988.375,-0.153016612421245,116,10.588735061374914,0.0196369479221061,252.1503155579237,13.799651233680764,539.2250925845109,1036.5298197278064,1364.540800103717,12840.606216308552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
