date,raion_id,raion_name,ntl_mean,ntl_std_mean,ntl_valid_pixels,ntl_total_pixels,ntl_high_quality_share,ntl_latest_hq_share,source_tile_count
2023-01-01,UA0102,Bakhchysaraiskyi,2.861610569103441,24.177829805456355,15548,15548,0.9708001029071264,0.02919989709287368,1
2023-01-01,UA0104,Bilohirskyi,4.498144138629503,212.36204701644488,19340,19340,0.9891933815925543,0.010806618407445708,1
2023-01-01,UA0106,Dzhankoiskyi,0.5020690503288918,1.17526708124196,14457,14457,0.9874801134398561,0.012519886560143875,1
2023-01-01,UA0108,Yevpatoriiskyi,0.7238905797702873,2.4822170972479123,25621,25621,0.9668240896139886,0.033175910386011476,1
2023-01-01,UA0110,Kerchenskyi,0.792267479294528,2.6322251835579764,19978,19978,0.5543097407147862,0.4456902592852137,1
2023-01-01,UA0112,Kurmanskyi,0.4671191213047242,0.7570486899582598,21547,21547,0.9477421450782011,0.05225785492179886,1
2023-01-01,UA0114,Perekopskyi,0.5241224424254248,1.5499758400616885,16494,16494,0.9756275009094216,0.02437249909057839,1
2023-01-01,UA0116,Simferopolskyi,2.619582175172639,9.41789904396153,12170,12170,0.9769104354971241,0.023089564502875925,1
2023-01-01,UA0118,Feodosiiskyi,0.7677100362256469,2.1706012919724635,17858,17858,0.9198118490312465,0.0801881509687535,1
2023-01-01,UA0120,Yaltynskyi,2.1324491965801107,6.672810703992614,5821,5821,0.9608314722556262,0.03916852774437382,1
2023-01-01,UA0502,Vinnytskyi,0.3282430481359598,0.6812384868139498,49008,49008,0.16993143976493633,0.8300685602350637,1
2023-01-01,UA0504,Haisynskyi,0.24785472001089465,0.1706447121388796,39864,39864,0.18058900260887015,0.8194109973911299,2
2023-01-01,UA0506,Zhmerynskyi,0.2636389496628335,0.22828392926340274,22233,22233,0.08811226555120766,0.9118877344487923,1
2023-01-01,UA0508,Mohyliv-Podilskyi,0.264840939561756,0.1653269402394441,22580,22580,0.1337466784765279,0.8662533215234721,1
2023-01-01,UA0510,Tulchynskyi,0.2720609796453874,0.18358404118979463,27044,27044,0.1396243159295962,0.8603756840704038,1
2023-01-01,UA0512,Khmilnytskyi,0.2767275354016278,0.21395096186287085,26518,26518,0.0,1.0,1
2023-01-01,UA0702,Volodymyrskyi,0.2476371898531848,0.17442507305319438,18791,18791,0.0008514714490979725,0.9991485285509021,1
2023-01-01,UA0704,Kamin-Kashyrskyi,0.2211774213897548,0.08936182477678066,35011,35011,0.0,1.0,1
2023-01-01,UA0706,Kovelskyi,0.23762374517367985,0.17443433946816203,56853,56853,0.0,1.0,1
2023-01-01,UA0708,Lutskyi,0.2507542287555762,0.2453584666206317,38532,38532,0.03451676528599606,0.965483234714004,1
2023-01-01,UA1202,Dniprovskyi,0.6466888448403249,27.4368742854714,39273,39273,0.6823517429277112,0.31764825707228883,1
2023-01-01,UA1204,Kamianskyi,0.2944006452654126,1.101154668334745,33666,33666,0.6745975167825106,0.32540248321748944,1
2023-01-01,UA1206,Kryvorizkyi,0.29480534464199304,1.3089503827803444,39695,39695,0.4438342360498803,0.5561657639501196,1
2023-01-01,UA1208,Nikopolskyi,0.23904393520836018,2.0175491124945792,22336,22336,0.8440633954154728,0.1559366045845272,1
2023-01-01,UA1210,Samarivskyi,0.22920320408329992,0.16518114240609033,24562,24562,0.6079716635453138,0.3920283364546861,1
2023-01-01,UA1212,Pavlohradskyi,0.2070729879674282,0.2046791856241164,17079,17079,0.9557936647344693,0.04420633526553077,1
2023-01-01,UA1214,Synelnykivskyi,0.17482904708555919,0.197335189332268,46229,46229,0.9982045901923036,0.0017954098076964676,1
2023-01-01,UA1402,Bakhmutskyi,0.14613980360625656,0.17039914732490444,12258,12258,0.8799151574481971,0.1200848425518029,1
2023-01-01,UA1404,Volnovaskyi,0.24780563223011035,0.2084449403883087,30738,30738,0.9740711822499837,0.025928817750016268,1
2023-01-01,UA1406,Horlivskyi,0.5193275340385181,1.848198643150476,17088,17088,0.9829705056179775,0.017029494382022472,1
2023-01-01,UA1408,Donetskyi,1.1812329668406503,5.4120211400445255,20069,20069,0.9782749514176092,0.02172504858239075,1
2023-01-01,UA1410,Kalmiuskyi,0.3400736731685085,0.9077582002863355,21499,21499,0.7559886506349133,0.24401134936508675,1
2023-01-01,UA1412,Kramatorskyi,0.18973302699904115,0.13776931280257124,36529,36529,0.5313038955350543,0.46869610446494564,1
2023-01-01,UA1414,Mariupolskyi,0.6560283825468689,2.259674712510325,18002,18002,0.2619153427396956,0.7380846572603044,1
2023-01-01,UA1416,Pokrovskyi,0.24931250226232424,0.17590824576468114,27930,27930,0.9992123165055495,0.0007876834944504118,1
2023-01-01,UA1802,Berdychivskyi,0.38312830931594577,8.376999246997254,21686,21686,0.19353499953887301,0.806465000461127,2
2023-01-01,UA1804,Zhytomyrskyi,0.1753011369219955,0.13921338529641128,76327,76327,0.19201593145282797,0.8079840685471721,2
2023-01-01,UA1806,Korostenskyi,0.1321788398427582,0.10156108217491158,81949,81949,0.13693882780753883,0.8630611721924611,1
2023-01-01,UA1808,Zviahelskyi,0.1806501880085158,0.09639997292932657,38386,38386,0.0,1.0,1
2023-01-01,UA2102,Berehivskyi,0.46944431043058454,0.7063170020542118,10149,10149,0.3670312346043945,0.6329687653956054,1
2023-01-01,UA2104,Mukachivskyi,0.40515147387089495,0.8768724993402893,14418,14418,0.0,1.0,1
2023-01-01,UA2106,Rakhivskyi,0.20669924234489226,0.28833812161342537,12838,12838,0.6878797320454899,0.31212026795451003,1
2023-01-01,UA2108,Tiachivskyi,0.3738696393324756,0.5736730547228692,13005,13005,0.46881968473663976,0.5311803152633603,1
2023-01-01,UA2110,Uzhhorodskyi,0.4720013220443368,1.1592172387234694,16617,16617,0.0,1.0,1
2023-01-01,UA2112,Khustskyi,0.2617401565136171,0.3339381544645762,22238,22238,0.08633869952333843,0.9136613004766616,1
2023-01-01,UA2302,Berdianskyi,0.3523815033134663,0.9351466612494409,30358,30358,0.1073522629949272,0.8926477370050728,1
2023-01-01,UA2304,Vasylivskyi,0.2905470445423484,0.9147539948560368,29547,29547,0.08450942566081159,0.9154905743391885,1
2023-01-01,UA2306,Zaporizkyi,0.20982799147862746,0.48440271135520024,32466,32466,0.9580792213392472,0.041920778660752785,1
2023-01-01,UA2308,Melitopolskyi,0.37793034594156194,1.2422232546773617,47229,47229,0.1449956594465265,0.8550043405534735,1
2023-01-01,UA2310,Polohivskyi,0.23663153450597335,0.1988134948162571,46466,46466,0.7086471828864116,0.2913528171135884,1
2023-01-01,UA2602,Verkhovynskyi,0.1013753101678701,0.15402670596968907,8706,8706,0.9132781989432576,0.08672180105674247,1
2023-01-01,UA2604,Ivano-Frankivskyi,0.2601819199333351,0.12902052603453137,27536,27536,0.04012928529924462,0.9598707147007554,1
2023-01-01,UA2606,Kaluskyi,0.24938213981842733,1.263575375508025,25187,25187,0.0,1.0,1
2023-01-01,UA2608,Kolomyiskyi,0.13492741253237564,0.20840781636529915,17402,17402,0.6648086426847489,0.3351913573152511,1
2023-01-01,UA2610,Kosivskyi,0.11709796876520312,0.16167233770765937,6116,6116,0.7601373446697187,0.23986265533028123,1
2023-01-01,UA2612,Nadvirnianskyi,0.2440430569668008,0.3229498466684721,13091,13091,0.07432587273699488,0.9256741272630051,1
2023-01-01,UA3200,Chornobyl Exclusion Zone,0.13224275822711307,0.11207173304317172,19091,19091,0.0,1.0,2
2023-01-01,UA3202,Bilotserkivskyi,0.20720751125825584,0.13032096845172572,46663,46663,0.30055932966161625,0.6994406703383838,4
2023-01-01,UA3204,Boryspilskyi,0.14966660490283007,0.244398459946633,28124,28124,0.8640662779121036,0.13593372208789645,2
2023-01-01,UA3206,Brovarskyi,8.096219380250892,274.04549600291335,21076,21076,0.4628961852343898,0.5371038147656102,1
2023-01-01,UA3208,Buchanskyi,0.19098256385271262,0.2562917414425704,18701,18701,0.3406234960697289,0.6593765039302711,2
2023-01-01,UA3210,Vyshhorodskyi,0.1473751828588678,0.12193352496613276,31925,31925,0.0980422866092404,0.9019577133907596,2
2023-01-01,UA3212,Obukhivskyi,0.1998149096271585,0.21394737841870282,26253,26253,0.7156134537005294,0.2843865462994705,2
2023-01-01,UA3214,Fastivskyi,0.11976463367879095,0.22602256460085848,12748,12748,0.9435989959209288,0.056401004079071226,3
2023-01-01,UA3502,Holovanivskyi,0.2638495215957062,0.0830799440325845,29675,29675,0.007851727042965459,0.9921482729570346,2
2023-01-01,UA3504,Kropyvnytskyi,0.2965252879904751,0.40428824615255304,67916,67916,0.1562518405088639,0.8437481594911361,1
2023-01-01,UA3506,Novoukrainskyi,0.2672506655921781,0.14444116978694765,36438,36438,0.17212799824359185,0.8278720017564082,1
2023-01-01,UA3508,Oleksandriiskyi,0.2548846147563823,0.14142456567445583,38118,38118,0.12277664095702817,0.8772233590429718,1
2023-01-01,UA4402,Alchevskyi,0.5949920445330806,4.698686924029302,13976,13976,0.8559673726388094,0.1440326273611906,1
2023-01-01,UA4404,Dovzhanskyi,0.3399040872714004,0.6499980246922841,14928,14928,0.6136120042872455,0.38638799571275456,2
2023-01-01,UA4406,Luhanskyi,0.5191711885071825,1.7576451326477291,15058,15058,0.9568999867180237,0.04310001328197636,1
2023-01-01,UA4408,Rovenkivskyi,0.3461843664146962,0.8181939062813466,14493,14493,0.8076312702684054,0.19236872973159455,1
2023-01-01,UA4410,Svativskyi,0.20479922419342347,0.1588626018926345,38057,38057,0.16385947394697428,0.8361405260530257,2
2023-01-01,UA4412,Siverskodonetskyi,0.1940339367817479,0.7988827030684211,19068,19068,0.30438430878959516,0.6956156912104049,1
2023-01-01,UA4414,Starobilskyi,0.23302050018356976,0.15324464987786096,49515,49515,0.010744218923558518,0.9892557810764415,2
2023-01-01,UA4416,Shchastynskyi,0.21307443858758174,0.18352443789767003,23784,23784,0.4303733602421796,0.5696266397578204,2
2023-01-01,UA4602,Drohobytskyi,1.7899430792103157,45.99902338884123,10637,10637,0.0,1.0,1
2023-01-01,UA4604,Zolochivskyi,0.26777466801869404,0.29128380268663295,21077,21077,0.0,1.0,2
2023-01-01,UA4606,Lvivskyi,0.8409940276157678,3.2520334447442703,35752,35752,0.0,1.0,2
2023-01-01,UA4608,Sambirskyi,0.2462489361579811,0.13268481677589666,23164,23164,0.0,1.0,1
2023-01-01,UA4610,Stryiskyi,0.6286765668906991,17.743010338803426,27395,27395,0.0,1.0,1
2023-01-01,UA4612,Sheptytskyi,0.23412553314277804,0.21928531872747598,21576,21576,0.007554690396737116,0.9924453096032629,1
2023-01-01,UA4614,Yavorivskyi,0.3110712589016184,0.6039201118577474,17128,17128,0.0,1.0,2
2023-01-01,UA4802,Bashtanskyi,0.25565703054723116,0.1153870299879372,46100,46100,0.2613232104121475,0.7386767895878525,1
2023-01-01,UA4804,Voznesenskyi,0.3400485787797521,4.76801552874184,42429,42429,0.4314501873718447,0.5685498126281553,1
2023-01-01,UA4806,Mykolaivskyi,0.26462127067085145,0.15403808858768983,52322,52322,0.5618477886930928,0.43815221130690724,1
2023-01-01,UA4808,Pervomaiskyi,0.2705912438291658,0.12936821591197867,26306,26306,0.48635292328746293,0.5136470767125371,1
2023-01-01,UA5102,Berezivskyi,0.2836880945740297,0.1643251179051275,37987,37987,0.9624608418669545,0.037539158133045515,2
2023-01-01,UA5104,Bilhorod-Dnistrovskyi,0.3028939593856789,0.20086911842954064,34724,34724,0.8848922935145721,0.11510770648542795,2
2023-01-01,UA5106,Bolhradskyi,0.34193315486070625,0.2541080128746771,29981,29981,0.9541376204929789,0.045862379507021114,1
2023-01-01,UA5108,Izmailskyi,0.41250424311527384,0.8640030268074239,23547,23547,0.7062470803074702,0.2937529196925298,2
2023-01-01,UA5110,Odeskyi,0.6406847253970314,1.6073491170333114,26691,26691,0.9347720205312652,0.06522797946873478,2
2023-01-01,UA5112,Podilskyi,0.2638646727097474,0.19527330500301882,48783,48783,0.5499046799089847,0.4500953200910153,2
2023-01-01,UA5114,Rozdilnianskyi,0.3193854159782197,0.18259919618671774,24340,24340,0.8673377156943303,0.13266228430566968,2
2023-01-01,UA5302,Kremenchutskyi,0.29869378786139705,0.7540671583029638,43483,43483,0.2698755835613918,0.7301244164386081,1
2023-01-01,UA5304,Lubenskyi,0.15646966880638538,0.15638836408081344,39678,39678,0.595140884117143,0.404859115882857,2
2023-01-01,UA5306,Myrhorodskyi,0.19537522993666687,1.0567197796499708,45429,45429,0.32316361795328974,0.6768363820467103,2
2023-01-01,UA5308,Poltavskyi,0.2525695580347551,1.6199230283004185,77736,77736,0.3883914788514974,0.6116085211485026,2
2023-01-01,UA5602,Varaskyi,0.23286318927539895,0.29463017502718797,24846,24846,0.0,1.0,1
2023-01-01,UA5604,Dubenskyi,0.20351446878132437,0.11951821591553402,23999,23999,0.021792574690612108,0.9782074253093879,1
2023-01-01,UA5606,Rivnenskyi,0.24146210700563447,0.35868664944753065,52973,52973,0.012553565023691314,0.9874464349763087,1
2023-01-01,UA5608,Sarnenskyi,0.2015569592638219,0.11220511440372677,46266,46266,0.011477110621190507,0.9885228893788095,1
2023-01-01,UA5902,Konotopskyi,0.14610279201785917,0.09621176173221307,38519,38519,0.0,1.0,1
2023-01-01,UA5904,Okhtyrskyi,0.14329322356357233,0.13448183233188507,23315,23315,0.46403602830795626,0.5359639716920438,1
2023-01-01,UA5906,Romenskyi,0.13209312011863192,0.08309768964516306,28487,28487,0.0,1.0,1
2023-01-01,UA5908,Sumskyi,0.15369932685913024,0.09843285379865477,47777,47777,0.0,1.0,1
2023-01-01,UA5910,Shostkynskyi,0.14842735205648444,0.11188994686364624,38166,38166,0.2071215217733061,0.7928784782266939,1
2023-01-01,UA6102,Kremenetskyi,0.22009746475667102,0.0733013438468919,19031,19031,0.0,1.0,2
2023-01-01,UA6104,Ternopilskyi,0.2605408254018064,0.15821294728238264,44068,44068,0.0,1.0,1
2023-01-01,UA6106,Chortkivskyi,0.23583705128264032,0.15319465055631054,35610,35610,0.07194608256107834,0.9280539174389216,1
2023-01-01,UA6302,Bohodukhivskyi,0.2000064201194751,0.1921248114542877,32644,32644,0.7460482783972553,0.25395172160274476,2
