latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
48.59787,25.24016,327.85,0.42,0.38,2023-01-01,1118,N,VIIRS,n,2,273.75,2.57,D,0
48.46104,38.77078,328.8,0.38,0.36,2023-01-01,2332,N,VIIRS,n,2,274.99,3.15,N,0
48.09919,37.92309,306.89,0.38,0.36,2023-01-01,2332,N,VIIRS,n,2,277.21,1.27,N,2
48.06077,37.95666,307.52,0.38,0.36,2023-01-01,2332,N,VIIRS,n,2,277.51,0.49,N,2
48.48305,38.78427,304.33,0.38,0.36,2023-01-01,2332,N,VIIRS,n,2,273.9,1.05,N,0
48.47309,34.62945,309.85,0.43,0.38,2023-01-01,2332,N,VIIRS,n,2,279.74,1.41,N,2
47.8336,38.48113,298.89,0.38,0.36,2023-01-01,2332,N,VIIRS,n,2,278.32,0.44,N,0
47.8604,35.14433,308.67,0.42,0.37,2023-01-01,2332,N,VIIRS,n,2,280.17,2.18,N,3
47.87389,33.42048,321.36,0.46,0.39,2023-01-01,2332,N,VIIRS,n,2,278.28,2.24,N,3
47.87461,33.41428,300.71,0.46,0.39,2023-01-01,2332,N,VIIRS,n,2,278.7,1.4,N,3
47.86886,33.43195,297.49,0.46,0.39,2023-01-01,2332,N,VIIRS,n,2,277.13,0.8,N,2
48.46596,38.76172,308.15,0.38,0.36,2023-01-01,2332,N,VIIRS,n,2,276.06,0.89,N,2
48.46353,38.7554,330.41,0.38,0.36,2023-01-01,2332,N,VIIRS,n,2,276.22,4.03,N,2
48.0575,37.95552,295.37,0.38,0.36,2023-01-01,2332,N,VIIRS,n,2,276.29,0.49,N,2
48.52142,34.61835,310.35,0.43,0.38,2023-01-01,2332,N,VIIRS,n,2,278.86,1.12,N,0
48.45778,38.76959,299.35,0.38,0.36,2023-01-01,2332,N,VIIRS,n,2,272.83,0.82,N,0
47.85951,33.44869,316.59,0.46,0.39,2023-01-01,2332,N,VIIRS,n,2,280.24,2.06,N,2
47.6299,34.32176,296.66,0.43,0.38,2023-01-01,2332,N,VIIRS,n,2,277.83,0.8,N,2
48.53247,34.64565,329.17,0.43,0.38,2023-01-01,2332,N,VIIRS,n,2,282.41,14.29,N,3
45.522,33.36277,331.11,0.5,0.41,2023-01-02,1058,N,VIIRS,n,2,283.49,4.55,D,0
49.3193,23.46782,345.38,0.41,0.37,2023-01-02,1100,N,VIIRS,n,2,286.62,8.41,D,0
49.37515,23.50124,350.42,0.41,0.37,2023-01-02,1100,N,VIIRS,n,2,286.32,13.68,D,0
49.37416,23.49573,326.92,0.41,0.37,2023-01-02,1100,N,VIIRS,n,2,281.2,3.32,D,0
49.37947,23.50532,329.54,0.41,0.37,2023-01-02,1100,N,VIIRS,n,2,280.21,13.68,D,0
49.37848,23.49982,351.09,0.41,0.37,2023-01-02,1100,N,VIIRS,n,2,286.11,13.68,D,0
48.46733,38.76145,302.5,0.45,0.39,2023-01-02,2313,N,VIIRS,n,2,275.95,1.41,N,2
48.48013,38.77736,296.56,0.45,0.39,2023-01-02,2313,N,VIIRS,n,2,275.39,0.92,N,3
48.46449,38.75443,319.3,0.45,0.39,2023-01-02,2313,N,VIIRS,n,2,276.16,1.37,N,2
48.46376,38.7605,295.93,0.45,0.39,2023-01-02,2313,N,VIIRS,n,2,274.94,1.37,N,2
48.45877,38.77169,325.9,0.45,0.39,2023-01-02,2313,N,VIIRS,n,2,274.51,3.42,N,0
48.46092,38.75349,298.47,0.45,0.39,2023-01-02,2313,N,VIIRS,n,2,274.81,1.37,N,2
48.53199,34.64532,307.09,0.43,0.46,2023-01-02,2313,N,VIIRS,n,2,272.48,1.69,N,3
47.83282,38.47643,299.46,0.45,0.39,2023-01-02,2313,N,VIIRS,n,2,274.43,0.73,N,0
47.86084,35.14196,306.83,0.4,0.44,2023-01-02,2313,N,VIIRS,n,2,275.98,1.33,N,3
47.85848,33.44341,310.05,0.48,0.48,2023-01-02,2313,N,VIIRS,n,2,272.99,1.93,N,2
47.86612,33.43225,296,0.48,0.48,2023-01-02,2314,N,VIIRS,n,2,273.8,0.6,N,2
