target,experiment,algorithm,split,threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,positive_rate,predicted_positive_rate,n_rows,n_positive,top_10_precision,top_10_recall,top_20pct_precision,top_20pct_recall,forecast_window_weeks,forecast_window_label
y_next_battle_any,naive_baseline,naive,test,0.5,0.960431654676259,0.84,0.8316831683168316,0.835820895522388,0.7189975544317021,0.9049275323166696,0.1211031175059952,0.1199040767386091,1668,202,0.8416666666666668,0.5056956115779645,0.5,0.8386758870214752,1,next_week
y_next_battle_any,model1_non_acled_only,linear,test,0.65,0.8914868105515588,0.5458515283842795,0.6188118811881188,0.580046403712297,0.5672139503677566,0.9021382356516688,0.1211031175059952,0.1372901678657074,1668,202,0.5833333333333333,0.3482162309368192,0.4821428571428571,0.8064678649237472,1,next_week
y_next_battle_any,model1_non_acled_only,lightgbm,test,0.2,0.9310551558752996,0.6719367588932806,0.8415841584158416,0.7472527472527473,0.8641608387864457,0.9718199991895506,0.1211031175059952,0.1516786570743405,1668,202,0.9333333333333336,0.55932442421413,0.556547619047619,0.927160169623405,1,next_week
y_next_battle_any,model1_non_acled_only,catboost,test,0.2,0.935251798561151,0.7582417582417582,0.6831683168316832,0.71875,0.8665095246002009,0.973977820701579,0.1211031175059952,0.1091127098321343,1668,202,0.9333333333333336,0.5596307967631496,0.5833333333333333,0.9724206349206348,1,next_week
y_next_battle_any,model1_non_acled_only,gru,test,0.8,0.9436450839328536,0.7755102040816326,0.7524752475247525,0.7638190954773869,0.8794148865285147,0.9760579741466644,0.1211031153798103,0.1175059952038369,1668,202,0.9666666666666668,0.5816623871770931,0.5684523809523809,0.9469586445689386,1,next_week
y_next_battle_any,model2_plus_lagged_acled,linear,test,0.9,0.962230215827338,0.9161676646706588,0.7574257425742574,0.8292682926829268,0.9159484562631756,0.9810827603906368,0.1211031175059952,0.1001199040767386,1668,202,0.9916666666666668,0.5969401649548709,0.5595238095238095,0.9338060224089636,1,next_week
y_next_battle_any,model2_plus_lagged_acled,lightgbm,test,0.4,0.9616306954436452,0.8194444444444444,0.8762376237623762,0.84688995215311,0.9373960148937202,0.985151891723961,0.1211031175059952,0.1294964028776978,1668,202,1.0,0.6018421257391846,0.5714285714285714,0.9510504201680672,1,next_week
y_next_battle_any,model2_plus_lagged_acled,catboost,test,0.25,0.960431654676259,0.8148148148148148,0.8712871287128713,0.8421052631578947,0.9335760088640744,0.9865769319087434,0.1211031175059952,0.1294964028776978,1668,202,0.9916666666666668,0.596286570183629,0.5773809523809523,0.9612356053532524,1,next_week
y_next_battle_any,model2_plus_lagged_acled,gru,test,0.75,0.933453237410072,0.6743295019157088,0.8712871287128713,0.7602591792656588,0.9094345175974948,0.9804006321505274,0.1211031153798103,0.1564748201438849,1668,202,0.9833333333333334,0.5923105353252412,0.5654761904761905,0.9439163165266108,1,next_week
y_next_explosions_remote_any,naive_baseline,naive,test,0.5,0.8441247002398081,0.764808362369338,0.7783687943262412,0.7715289982425307,0.6702430108696793,0.8280430928152944,0.3381294964028777,0.3441247002398082,1668,564,0.7833333333333333,0.1672005123645906,0.7857142857142857,0.4704865799372474,1,next_week
