raion_id,raion_name,oblast_name,week_start,acled_event_count,fatalities_sum,events_with_fatalities,violence_against_civilians_count,explosions_remote_count,battles_count,strategic_developments_count,protests_riots_count,civilian_targeting_count,air_drone_strike_count,precise_geo_event_count,any_event,high_intensity_week
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-06-05,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-06-12,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-06-19,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-07-10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-08-07,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-08-21,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-08-28,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-09-11,7.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,7.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-09-18,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1,0
